title,url,writers
Bottle Rocket ,https://imsdb.com/genre/Comedy/Movie s/Bottle Rocket .html,"Owen Wilson, Wes Anderson"
"Bounty Hunter, The ","https://imsdb.com/genre/Comedy/Movie s/Bounty Hunter, The .html",Sarah Thorp
"Boxtrolls, The ","https://imsdb.com/genre/Comedy/Movie s/Boxtrolls, The .html","Irena Brignull, Adam Pava"
Brazil ,https://imsdb.com/genre/Comedy/Movie s/Brazil .html,"Terry Gilliam, Charles McKeown"
"Breakfast Club, The ","https://imsdb.com/genre/Comedy/Movie s/Breakfast Club, The .html",John Hughes
Breaking Away ,https://imsdb.com/genre/Comedy/Movie s/Breaking Away .html,Steve Tesich
Bridesmaids ,https://imsdb.com/genre/Comedy/Movie s/Bridesmaids .html,Annie Mumolo
Broadcast News ,https://imsdb.com/genre/Comedy/Movie s/Broadcast News .html,James L. Brooks
Broken Embraces,https://imsdb.com/genre/Romance/Movie Scripts/Broken Embraces Script.html,Pedro Almodovar
"Brothers Bloom, The","https://imsdb.com/genre/Romance/Movie Scripts/Brothers Bloom, The Script.html",Rian Johnson
Bruce Almighty ,https://imsdb.com/genre/Comedy/Movie s/Bruce Almighty .html,"Steve Koren, Mark O'Keefe, Steve Oedekerk"
Buffy the Vampire Slayer ,https://imsdb.com/genre/Comedy/Movie s/Buffy the Vampire Slayer .html,Joss Whedon
Bull Durham ,https://imsdb.com/genre/Comedy/Movie s/Bull Durham .html,Ron Shelton
Burlesque,https://imsdb.com/genre/Romance/Movie Scripts/Burlesque Script.html,Steven Antin
Burn After Reading ,https://imsdb.com/genre/Comedy/Movie s/Burn After Reading .html,"Joel Coen, Ethan Coen"
Burning Annie ,https://imsdb.com/genre/Comedy/Movie s/Burning Annie .html,Zack Ordynans
Cable Guy ,https://imsdb.com/genre/Comedy/Movie s/Cable Guy .html,"Lou Holtz Jr., Judd Apatow"
Cecil B. Demented ,https://imsdb.com/genre/Comedy/Movie s/Cecil B. Demented .html,John Waters
Cedar Rapids ,https://imsdb.com/genre/Comedy/Movie s/Cedar Rapids .html,Phil Johnston
"Change-Up, The ","https://imsdb.com/genre/Comedy/Movie s/Change-Up, The .html","Jon Lucas, Scott Moore"
Charade ,https://imsdb.com/genre/Comedy/Movie s/Charade .html,Peter Stone
Charlie's Angels ,https://imsdb.com/genre/Comedy/Movie s/Charlie's Angels .html,"Ed Solomon, John August, Zak Penn"
Chasing Amy ,https://imsdb.com/genre/Comedy/Movie s/Chasing Amy .html,Kevin Smith
Cherry Falls ,https://imsdb.com/genre/Comedy/Movie s/Cherry Falls .html,Ken Selden
Christ Complex ,https://imsdb.com/genre/Comedy/Movie s/Christ Complex .html,Jeffrey Scott Richards
"Cider House Rules, The","https://imsdb.com/genre/Romance/Movie Scripts/Cider House Rules, The Script.html",John Irving
Cinema Paradiso,https://imsdb.com/genre/Romance/Movie Scripts/Cinema Paradiso Script.html,Giuseppe Tornatore
Clerks ,https://imsdb.com/genre/Comedy/Movie s/Clerks .html,Kevin Smith
Clueless ,https://imsdb.com/genre/Comedy/Movie s/Clueless .html,Amy Heckerling
Coco ,https://imsdb.com/genre/Comedy/Movie s/Coco .html,"Lee Unkrich, Jason Katz, Matthew Aldrich, Adrian Molina"
Cold Mountain,https://imsdb.com/genre/Romance/Movie Scripts/Cold Mountain Script.html,"Charles Frazier, Anthony Minghella"
Color of Night,https://imsdb.com/genre/Romance/Movie Scripts/Color of Night Script.html,"Billy Ray, Matthew Chapman"
"Cooler, The ","https://imsdb.com/genre/Comedy/Movie s/Cooler, The .html","Frank Hannah, Wayne Kramer"
Cradle 2 the Grave ,https://imsdb.com/genre/Comedy/Movie s/Cradle 2 the Grave .html,"John O'Brian, Channing Gibson"
Crash,https://imsdb.com/genre/Romance/Movie Scripts/Crash Script.html,"J.G. Ballard, David Cronenberg"
"Crazy, Stupid, Love ","https://imsdb.com/genre/Comedy/Movie s/Crazy, Stupid, Love .html",Dan Fogelman
Crazylove,https://imsdb.com/genre/Romance/Movie Scripts/Crazylove Script.html,Carol Watson
Crime Spree ,https://imsdb.com/genre/Comedy/Movie s/Crime Spree .html,Brad Mirman
"Croods, The ","https://imsdb.com/genre/Comedy/Movie s/Croods, The .html","Kirk DeMicco, Chris Sanders"
"Crouching Tiger, Hidden Dragon","https://imsdb.com/genre/Romance/Movie Scripts/Crouching Tiger, Hidden Dragon Script.html","Wang Hui Ling, James Schamus, Tsai Kuo Jung"
"Crow, The","https://imsdb.com/genre/Romance/Movie Scripts/Crow, The Script.html",David Schow
Cruel Intentions,https://imsdb.com/genre/Romance/Movie Scripts/Cruel Intentions Script.html,Roger Kumble
Crying Game,https://imsdb.com/genre/Romance/Movie Scripts/Crying Game Script.html,Neil Jordan
"Curious Case of Benjamin Button, The","https://imsdb.com/genre/Romance/Movie Scripts/Curious Case of Benjamin Button, The Script.html",Eric Roth
Custody ,https://imsdb.com/genre/Comedy/Movie s/Custody .html,Eric Stuyvesant
"Danish Girl, The","https://imsdb.com/genre/Romance/Movie Scripts/Danish Girl, The Script.html","Lucinda Coxon, David Ebershoff"
Dark Star ,https://imsdb.com/genre/Comedy/Movie s/Dark Star .html,"John Carpenter, Dan O'Bannon"
Date Night ,https://imsdb.com/genre/Comedy/Movie s/Date Night .html,Josh Klausner
Dave Barry's Complete Guide to Guys ,https://imsdb.com/genre/Comedy/Movie s/Dave Barry's Complete Guide to Guys .html,"Jeff Arch, Dave Barry"
Deadpool ,https://imsdb.com/genre/Comedy/Movie s/Deadpool .html,"Rhett Reese, Paul Wernick"
Dear White People ,https://imsdb.com/genre/Comedy/Movie s/Dear White People .html,Justin Simien
Death at a Funeral ,https://imsdb.com/genre/Comedy/Movie s/Death at a Funeral .html,"Chris Rock, Aeysha Carr"
Death to Smoochy ,https://imsdb.com/genre/Comedy/Movie s/Death to Smoochy .html,Marty Kaplan
Deception,https://imsdb.com/genre/Romance/Movie Scripts/Deception Script.html,"Mark Bomback, Patrick Marber"
"Descendants, The ","https://imsdb.com/genre/Comedy/Movie s/Descendants, The .html","Alexander Payne, Nat Faxon, Jim Rash"
Despicable Me 2 ,https://imsdb.com/genre/Comedy/Movie s/Despicable Me 2 .html,"Cinco Paul, Ken Daurio"
Detroit Rock City ,https://imsdb.com/genre/Comedy/Movie s/Detroit Rock City .html,Carl V Dupre
"Devil Wears Prada, The ","https://imsdb.com/genre/Comedy/Movie s/Devil Wears Prada, The .html","Aline Brosh McKenna, Lauren Weisberger"
Diner ,https://imsdb.com/genre/Comedy/Movie s/Diner .html,Barry Levinson
"Distinguished Gentleman, The ","https://imsdb.com/genre/Comedy/Movie s/Distinguished Gentleman, The .html",Adam Resnick
Do The Right Thing ,https://imsdb.com/genre/Comedy/Movie s/Do The Right Thing .html,Spike Lee
Dog Day Afternoon ,https://imsdb.com/genre/Comedy/Movie s/Dog Day Afternoon .html,Frank Pierson
Dogma ,https://imsdb.com/genre/Comedy/Movie s/Dogma .html,Kevin Smith
Drop Dead Gorgeous ,https://imsdb.com/genre/Comedy/Movie s/Drop Dead Gorgeous .html,Lona Williams
Duck Soup ,https://imsdb.com/genre/Comedy/Movie s/Duck Soup .html,"Bert Kelmer, Harry Ruby, Grover Jones"
Dumb and Dumber ,https://imsdb.com/genre/Comedy/Movie s/Dumb and Dumber .html,"Peter Farrelly, Bobby Farrelly,  Bennett Yellin"
Easy A ,https://imsdb.com/genre/Comedy/Movie s/Easy A .html,Bert V. Royal
Ed TV ,https://imsdb.com/genre/Comedy/Movie s/Ed TV .html,"Emile Gaudreault, Sylvie Bochard"
Ed Wood ,https://imsdb.com/genre/Comedy/Movie s/Ed Wood .html,"Scott Alexander, Larry Karaszewski, Tim Burton"
Edward Scissorhands,https://imsdb.com/genre/Romance/Movie Scripts/Edward Scissorhands Script.html,"Tim Burton, Caroline Thompson"
Eight Legged Freaks ,https://imsdb.com/genre/Comedy/Movie s/Eight Legged Freaks .html,"Jesse Alexander,  Ellory Elkayem"
Election ,https://imsdb.com/genre/Comedy/Movie s/Election .html,"Alexander Payne, Jim Taylor"
"English Patient, The","https://imsdb.com/genre/Romance/Movie Scripts/English Patient, The Script.html",Anthony Minghella
Entrapment ,https://imsdb.com/genre/Comedy/Movie s/Entrapment .html,"Ronald Bass, Michael Herzberg"
Erin Brockovich ,https://imsdb.com/genre/Comedy/Movie s/Erin Brockovich .html,Susannah Grant
Eternal Sunshine of the Spotless Mind,https://imsdb.com/genre/Romance/Movie Scripts/Eternal Sunshine of the Spotless Mind Script.html,"Charlie Kaufman, Michel Gondry, Pierre Bismuth"
Even Cowgirls Get the Blues ,https://imsdb.com/genre/Comedy/Movie s/Even Cowgirls Get the Blues .html,"Tom Robbins, Gus Van Sant"
Evil Dead ,https://imsdb.com/genre/Comedy/Movie s/Evil Dead .html,Sam Raimi
Evil Dead II: Dead by Dawn ,https://imsdb.com/genre/Comedy/Movie s/Evil Dead II: Dead by Dawn .html,"Sam Raimi, Scott Spiegel"
Extract ,https://imsdb.com/genre/Comedy/Movie s/Extract .html,Mike Judge
"Fabulous Baker Boys, The","https://imsdb.com/genre/Romance/Movie Scripts/Fabulous Baker Boys, The Script.html",Steven Kloves
"Family Man, The ","https://imsdb.com/genre/Comedy/Movie s/Family Man, The .html","David Diamond, David Weissman"
Fantastic Mr Fox ,https://imsdb.com/genre/Comedy/Movie s/Fantastic Mr Fox .html,"Roald Dahl, Wes Anderson, Noah Baumbach"
Fargo ,https://imsdb.com/genre/Comedy/Movie s/Fargo .html,"Joel Coen, Ethan Coen"
Fast Times at Ridgemont High ,https://imsdb.com/genre/Comedy/Movie s/Fast Times at Ridgemont High .html,Cameron Crowe
Fatal Instinct ,https://imsdb.com/genre/Comedy/Movie s/Fatal Instinct .html,David O'Malley
"Fault in Our Stars, The","https://imsdb.com/genre/Romance/Movie Scripts/Fault in Our Stars, The Script.html","Scott Neustadter, Michael H. Weber"
Fear and Loathing in Las Vegas ,https://imsdb.com/genre/Comedy/Movie s/Fear and Loathing in Las Vegas .html,"Terry Gilliam, Tony Grisoni"
Feast ,https://imsdb.com/genre/Comedy/Movie s/Feast .html,"Patrick Melton, Marcus Dunston"
Ferris Bueller's Day Off ,https://imsdb.com/genre/Comedy/Movie s/Ferris Bueller's Day Off .html,John Hughes
"Fifth Element, The ","https://imsdb.com/genre/Comedy/Movie s/Fifth Element, The .html",Luc Besson
Finding Nemo ,https://imsdb.com/genre/Comedy/Movie s/Finding Nemo .html,Andrew Stanton
Fletch ,https://imsdb.com/genre/Comedy/Movie s/Fletch .html,"Phil A. Robinson, Andrew Bergman"
"Flintstones, The ","https://imsdb.com/genre/Comedy/Movie s/Flintstones, The .html",Steven E. De Souza
Forrest Gump ,https://imsdb.com/genre/Comedy/Movie s/Forrest Gump .html,"Eric Roth, Winston Groom"
Four Rooms ,https://imsdb.com/genre/Comedy/Movie s/Four Rooms .html,"Allison Anders, Quentin Tarantino, Robert Rodriguez, Alexandre Rockwell"
Freaked ,https://imsdb.com/genre/Comedy/Movie s/Freaked .html,"Tim Burns, Tom Stern, Alex Winter"
Fright Night ,https://imsdb.com/genre/Comedy/Movie s/Fright Night .html,Marti Noxon
Fright Night (1985) ,https://imsdb.com/genre/Comedy/Movie s/Fright Night (1985) .html,Tom Holland
From Dusk Till Dawn ,https://imsdb.com/genre/Comedy/Movie s/From Dusk Till Dawn .html,Quentin Tarantino
From Here to Eternity,https://imsdb.com/genre/Romance/Movie Scripts/From Here to Eternity Script.html,Daniel Taradash
Frozen (Disney) ,https://imsdb.com/genre/Comedy/Movie s/Frozen (Disney) .html,Jennifer Lee
Funny People ,https://imsdb.com/genre/Comedy/Movie s/Funny People .html,Judd Apatow
Game 6 ,https://imsdb.com/genre/Comedy/Movie s/Game 6 .html,Don DeLillo
Garden State ,https://imsdb.com/genre/Comedy/Movie s/Garden State .html,Zach Braff
Ghost,https://imsdb.com/genre/Romance/Movie Scripts/Ghost Script.html,Bruce Joel Rubin
Ghost World ,https://imsdb.com/genre/Comedy/Movie s/Ghost World .html,"Daniel Clowes, Terry Zwigoff"
Ghostbusters ,https://imsdb.com/genre/Comedy/Movie s/Ghostbusters .html,"Dan Aykroyd, Harold Ramis"
Ghostbusters 2 ,https://imsdb.com/genre/Comedy/Movie s/Ghostbusters 2 .html,"Dan Aykroyd, Harold Ramis"
Go ,https://imsdb.com/genre/Comedy/Movie s/Go .html,John August
"Good Girl, The ","https://imsdb.com/genre/Comedy/Movie s/Good Girl, The .html",Mike White
Good Will Hunting ,https://imsdb.com/genre/Comedy/Movie s/Good Will Hunting .html,"Matt Damon, Ben Affleck"
Grabbers ,https://imsdb.com/genre/Comedy/Movie s/Grabbers .html,Kevin Lehane
"Graduate, The ","https://imsdb.com/genre/Comedy/Movie s/Graduate, The .html",Buck Henry
Grand Hotel,https://imsdb.com/genre/Romance/Movie Scripts/Grand Hotel Script.html,Bela Balazs
Grand Theft Parsons ,https://imsdb.com/genre/Comedy/Movie s/Grand Theft Parsons .html,Jeremy Drysdale
"Great Gatsby, The","https://imsdb.com/genre/Romance/Movie Scripts/Great Gatsby, The Script.html","Baz Luhrmann, Craig Pearce"
Gremlins ,https://imsdb.com/genre/Comedy/Movie s/Gremlins .html,Chris Columbus
Gremlins 2 ,https://imsdb.com/genre/Comedy/Movie s/Gremlins 2 .html,Charlie Haas
Grosse Point Blank ,https://imsdb.com/genre/Comedy/Movie s/Grosse Point Blank .html,"Tom Jankiewicz,  D.V. deVincentis,  S.K. Boatman, John Cusack"
Groundhog Day ,https://imsdb.com/genre/Comedy/Movie s/Groundhog Day .html,Danny Rubin
Guardians of the Galaxy Vol 2 ,https://imsdb.com/genre/Comedy/Movie s/Guardians of the Galaxy Vol 2 .html,James Gunn
Hall Pass ,https://imsdb.com/genre/Comedy/Movie s/Hall Pass .html,"Peter Farrelly, Bobby Farrelly, Kevin Barnett, Pete Jones"
